PointName,TouristZone,PointType,ServiceClass,Latitude,Longitude,OpenDate,CloseDate,DaysMax,DaysMin,TouristsCount,AvPointPrice,NeedGuide,WorkersCount,TransportType,Tourists2022,Tourists2021,Tourists2020,Tourists2019,Tourists2018,Tourists2017,Tourists2016
"""Марусин дом"", креативное пространство",Каргополь,Этнический центр,Недифференцирован,61.500379, ,38.940086,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"Бабкина поляна - ""памятное место"" мастера Каргопольской глиняной игрушки Ульяны Ивановны Бабкиной",Каргополь,Достопримечательность,Недифференцирован,61.535244,, 38.750425,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Введенская церковь (XIX в.),Каргополь,Достопримечательность,Недифференцирован,61.503542,, 38.948333,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Каргопольский историко-архитектурный и художественный музей,Каргополь,Музей,Недифференцирован,61.493440, ,38.931879,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Музей «Ошевенская Волость»,Каргополь,Достопримечательность,Недифференцирован,61.858458, ,38.780617,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Музей семьи Шевелевых и каргопольской глиняной игрушки,Каргополь,Этнический центр,Недифференцирован,61.506561, ,38.937558,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Ошевенский Погост,Каргополь,Достопримечательность,Недифференцирован,61.863173, ,38.780199,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Собор Рождества Христова (Христорождественский собор),Каргополь,Достопримечательность,Недифференцирован,61.503037, ,38.948234,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"Центр народных ремесел ""Берегиня""",Каргополь,Этнический центр,Недифференцирован,61.506805, ,38.953280,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"Архитектурный парк ""Кенозерские бирюльки""",Кенозерский национальный парк,Достопримечательность,Недифференцирован,61.826373, ,38.038237,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Водяная мельница в деревне Зехнова,Кенозерский национальный парк,Достопримечательность,Недифференцирован,61.982013, ,38.253036,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
"Национальный парк ""Кенозерский""",Кенозерский национальный парк,Нац. парк,Недифференцирован,61.779822, ,38.253339,круглогодично,круглогодично,15,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Почезерский погост,Кенозерский национальный парк,Достопримечательность,Недифференцирован,62.217572, ,38.242901,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Фрагмент континентального водороздела в Кенозерье,Кенозерский национальный парк,Достопримечательность,Недифференцирован,61.770776, ,38.049337,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Церковь Успения Пресвятой Богородицы в Вершинино,Кенозерский национальный парк,Достопримечательность,Недифференцирован,62.075807, ,38.181049,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Часовня Николая Чудотворца в Вершинино,Кенозерский национальный парк,Достопримечательность,Недифференцирован,62.078427, ,38.198804,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Дом-музей Н.Г. Кузнецова,Котласский район,Музей,Недифференцирован,61.055146, ,46.615435,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Коряжемский Николаевский монастырь,Котласский район,Достопримечательность,Недифференцирован,61.315631, ,47.188923,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Котласский краеведческий музей,Котласский район,Музей,Недифференцирован,61.260602, ,46.628384,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Памятный информационный камень на месте раскопок палеонтолога В.П. Амалицкого,Котласский район,Этнический центр,Недифференцирован,61.145714, ,46.644500,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
Дом-усадьба художника А. Борисова,Красноборский район,Музей,Недифференцирован,61.537149, ,46.024354,круглогодично,круглогодично,1,1, , ,да, ,Автомобиль, автобус,,,,,,,
Красноборский историко-мемориальный и художественный музей имени С.И. Тупицына,Красноборский район,Музей,Недифференцирован,61.559635, ,45.940148,круглогодично,круглогодично,1,1, , ,нет, ,Автомобиль, автобус,,,,,,,
