Location;Name;InfType;WorkersCount;OpenData;CloseDate;Tourists;AvPrice;Tourists2022;Tourists2021;Tourists2020;Tourists2019;Tourists20218;Tourists2017;Tourists2016
город Онега;Кулинария «Смак»;Кафе;11;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Кафе «На 4 этаже»;Кафе;1;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Кафе «Сытый Панда»;Кафе;1;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Кафе «Робин-Бобин»;Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Кафе «Китаки»;Кафе;8;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Кафе-бар «Гараж»;Кафе;1;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Кафе в магазине «Рочевский»;Кафе;6;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Буфет при АО «Онежский ЛДК»;Кафе;1;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
город Онега;Буфет при Онежской ЦРБ;Кафе;3;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
поселок Малошуйка;Дом отдыха локомотивных бригад, Столовая № 11;Столовая;9;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
поселок Малошуйка;Кафе-бар «Счастье»;Кафе;2;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
поселок Глазаниха;Кафе «Надежда»;Кафе;1;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
Город Новодвинск;«Мечта»;Кафе;10;круглогодично;круглогодично;100;600;8000;6000;1000;3000;4000;0;0
Город Новодвинск;«Двина»;Кафе;7;круглогодично;круглогодично;50;500;4000;3000;500;1000;1500;0;0
Город Новодвинск;«Элар»;Кафе;3;круглогодично;круглогодично;30;300;4000;3000;500;1000;1500;0;0
Город Новодвинск;Столовая № 1 ООО «Престиж-кафе»;Столовая;20;круглогодично;круглогодично;150;250;8000;6000;1000;3000;4000;0;0
Город Новодвинск;«Парфе»;Кафе;3;круглогодично;круглогодично;50;500;3000;2500;1500;0;0;0;0
Город Новодвинск;«Шоколад»;Кафе;3;круглогодично;круглогодично;100;500;8000;6000;1000;3000;4000;0;0
Город Коряжма;"Кафе ""Весна""";Кафе;5;круглогодично;круглогодично;200;200;50000;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
Город Коряжма;"Кафе ""Ориент""";кафе;6;круглогодично;круглогодично;150;200;37000;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
Город Коряжма;"Пиццерия ""Терраса""";кафе;10;круглогодично;круглогодично;50;250;18000;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
Город Коряжма;"Кафе ""Паннорама""";кафе;15;круглогодично;круглогодично;50;250;18000;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
Город Коряжма;"Ресторан ""Рандеву""";ресторан;10;круглогодично;круглогодично;150;300;30000;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
Город Коряжма;"Ресторан ""Lomonosov""";ресторан;10;круглогодично;круглогодично;50;300;10000;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
с. Красноборск;Время обедать;Кафе;4;круглогодично;круглогодично;100;250;нет данных;нет данных;0;0;0;0;0
с. Красноборск;Атмосфера ;Кафе;3;круглогодично;круглогодично;100;250;нет данных;0;0;0;0;0;0
д. Крицовская;Кафе на II-ом;Кафе;3;круглогодично;круглогодично;50;250;нет данных;0;0;0;0;0;0
с. Черевково Красноборский район;Мельница;Кафе;2;круглогодично;круглогодично;50;250;нет данных;нет данных;нет данных;0;0;0;0
д. Малая Наговицинская;У Семёныча;Кафе;2;круглогодично;круглогодично;50;250;нет данных;нет данных;нет данных;нет данных;0;0;0
с. Красноборск;КрендельОК;Кафе;4;круглогодично;круглогодично;30;250;нет данных;нет данных;нет данных;0;0;0;0
д. Тимошинская;Капитан;Кафе;2;круглогодично;круглогодично;50;250;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «El Fuego»;Ресторан;15;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Ресторан «Беломорский»;Ресторан;12;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
"Городской округ ""Город Архангельск""";Первый банкетный ресторан ;Ресторан;5;круглогодично;круглогодично;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
